Property Address,City,Submarket Name,Building Class,RBA,Number Of Stories,Typical Floor Size,Year Built,Total Available Space (SF),Direct Available Space,Percent Leased,Rent/SF/Yr
5180 Orbitor Dr,Mississauga,Airport Corp Centre/Airport,C,40020,2,20010,2000,,,100.00,$21.30 - 26.03 (Est.)
1620 Albion Rd,Toronto,West Toronto,B,81620,3,27207,1975,9208,9208,88.72,$8.00
1625 Albion Rd,Toronto,Airport Corp Centre/Airport,C,25874,2,12937,1998,10423,10423,59.72,$12.00 - 16.00
1515 Britannia Rd E,Mississauga,Mississauga,B,128690,3,42897,1977,6723,6723,95.36,$11.95
10 Carlson Crt,Toronto,Airport Corp Centre/Airport,B,305449,8,30500,1985,48876,26506,93.66,$21.50
5397 Eglinton Ave W,Toronto,427 Corridor,C,37296,3,12432,1985,13407,13407,64.05,$15.50
5407 Eglinton Ave W,Toronto,427 Corridor,C,21285,2,10642,1986,4903,4903,76.96,$18.50
5450 Explorer Dr,Mississauga,Airport Corp Centre/Airport,A,131428,5,26285,2000,18527,18527,85.90,$17.00
4500 Hwy-7,Vaughan,GTA North,B,20607,2,11708,1950,2613,2613,87.32,$13.00
2630 Skymark Ave,Mississauga,Airport Corp Centre/Airport,A,93232,7,13319,1991,44579,40703,56.34,$19.50
2680 Skymark Ave,Mississauga,Airport Corp Centre/Airport,A,164516,10,16963,2000,51858,51858,72.94,$19.50 - 22.50
7611 Pine Valley Dr,Vaughan,GTA North,B,31552,2,15776,2005,,,100.00,$20.25 - 24.75 (Est.)
