address,lat,lon
"5925 Airport Rd, Ontario, Canada",43.686062,-79.6097099
"5935 Airport Rd, Ontario, Canada",43.6861214,-79.6101569
"6303 Airport Rd, Ontario, Canada",43.6908298,-79.6240038
"10 Carlson Crt, Ontario, Canada",44.6794571,-63.5067446
"5090 Commerce Blvd, Ontario, Canada",43.6649334,-79.5941973
"5110 Creekbank Rd, Ontario, Canada",43.6418815,-79.6154355
"5090 Explorer Dr, Ontario, Canada",43.66093745,-79.59674986045175
"5520 Explorer Dr, Ontario, Canada",43.65848,-79.6128883
"5520 Explorer Dr, Ontario, Canada",43.65848,-79.6128883
"5520 Explorer Dr, Ontario, Canada",43.65848,-79.6128883
"5520 Explorer Dr, Ontario, Canada",43.65848,-79.6128883
"5520 Explorer Dr, Ontario, Canada",43.65848,-79.6128883
"5520 Explorer Dr, Ontario, Canada",43.65848,-79.6128883
"5520 Explorer Dr, Ontario, Canada",43.65848,-79.6128883
"5925 Airport Rd,Mississauga, Ontario, Canada",43.68606201617349,-79.60970986932386
"5935 Airport Rd,Mississauga, Ontario, Canada",43.686121382893035,-79.61015688878142
"6303 Airport Rd,Mississauga, Ontario, Canada",43.6908298,-79.6240038
"10 Carlson Crt,Toronto, Ontario, Canada",43.6895499,-79.5870297
"5090 Commerce Blvd,Mississauga, Ontario, Canada",43.6649334,-79.5941973
"5110 Creekbank Rd,Mississauga, Ontario, Canada",43.6418815,-79.6154355
"5090 Explorer Dr,Mississauga, Ontario, Canada",43.66093745,-79.59674986045175
"5520 Explorer Dr,Mississauga, Ontario, Canada",43.65848,-79.6128883
"5560 Explorer Dr,Mississauga, Ontario, Canada",43.6603255,-79.6100447
"333 Bay St,Toronto, Ontario, Canada",43.650249,-79.3803549
"130 Adelaide St W,Toronto, Ontario, Canada",43.649303,-79.383974
"100 King St W,Toronto, Ontario, Canada",43.6487466,-79.3817297
"40 King St W,Toronto, Ontario, Canada",43.64949675,-79.3795651438561
"181 Bay St,Toronto, Ontario, Canada",43.6469019,-79.3785615
"161 Bay St,Toronto, Ontario, Canada",43.6469025,-79.3792058
"160 Front St W,Toronto, Ontario, Canada",43.64531755,-79.38458023314425
"96 Inspire Blvd,Brampton, Ontario, Canada",43.758081,-79.78809
"8705 Torbram Rd,Brampton, Ontario, Canada",43.7276355,-79.6976822
"2550 Stanfield Rd,Mississauga, Ontario, Canada",43.602359930944985,-79.58908606292822
"6450 Cantay Rd,Mississauga, Ontario, Canada",43.617579,-79.699861
"1574 Eagle St N,Cambridge, Ontario, Canada",43.405504,-80.34345
"1080 Southgate Dr,Guelph, Ontario, Canada",43.481695,-80.192529
"120 Allendale Rd,Cambridge, Ontario, Canada",43.4292689,-80.39410005567979
"220 Pinebush Rd,Cambridge, Ontario, Canada",43.411856447450575,-80.30749197282937
